item_id,genres,description
39,genreA;genreE;genreD,"This is a description for item 39 belonging to genres genreA, genreE, genreD."
40,genreA;genreD;genreB,"This is a description for item 40 belonging to genres genreA, genreD, genreB."
41,genreB,This is a description for item 41 belonging to genres genreB.
42,genreC,This is a description for item 42 belonging to genres genreC.
43,genreC;genreE,"This is a description for item 43 belonging to genres genreC, genreE."
44,genreA;genreE;genreC,"This is a description for item 44 belonging to genres genreA, genreE, genreC."
45,genreD;genreE;genreA,"This is a description for item 45 belonging to genres genreD, genreE, genreA."
46,genreD;genreC;genreE,"This is a description for item 46 belonging to genres genreD, genreC, genreE."
47,genreE;genreB,"This is a description for item 47 belonging to genres genreE, genreB."
48,genreD,This is a description for item 48 belonging to genres genreD.
49,genreC;genreB,"This is a description for item 49 belonging to genres genreC, genreB."
50,genreD;genreA;genreC,"This is a description for item 50 belonging to genres genreD, genreA, genreC."
51,genreD,This is a description for item 51 belonging to genres genreD.
52,genreB,This is a description for item 52 belonging to genres genreB.
53,genreB,This is a description for item 53 belonging to genres genreB.
54,genreC;genreA;genreE,"This is a description for item 54 belonging to genres genreC, genreA, genreE."
55,genreB,This is a description for item 55 belonging to genres genreB.
56,genreD,This is a description for item 56 belonging to genres genreD.
57,genreE,This is a description for item 57 belonging to genres genreE.
58,genreD;genreA;genreE,"This is a description for item 58 belonging to genres genreD, genreA, genreE."
59,genreE,This is a description for item 59 belonging to genres genreE.
60,genreB,This is a description for item 60 belonging to genres genreB.
61,genreC;genreD,"This is a description for item 61 belonging to genres genreC, genreD."
62,genreD,This is a description for item 62 belonging to genres genreD.
63,genreE;genreA,"This is a description for item 63 belonging to genres genreE, genreA."
64,genreB;genreE,"This is a description for item 64 belonging to genres genreB, genreE."
65,genreB;genreE,"This is a description for item 65 belonging to genres genreB, genreE."
66,genreB;genreE,"This is a description for item 66 belonging to genres genreB, genreE."
67,genreA;genreD;genreB,"This is a description for item 67 belonging to genres genreA, genreD, genreB."
68,genreC;genreD;genreA,"This is a description for item 68 belonging to genres genreC, genreD, genreA."
69,genreC,This is a description for item 69 belonging to genres genreC.
70,genreE;genreB,"This is a description for item 70 belonging to genres genreE, genreB."
71,genreC;genreD;genreB,"This is a description for item 71 belonging to genres genreC, genreD, genreB."
72,genreD;genreE,"This is a description for item 72 belonging to genres genreD, genreE."
73,genreE;genreD;genreC,"This is a description for item 73 belonging to genres genreE, genreD, genreC."
74,genreC;genreA;genreD,"This is a description for item 74 belonging to genres genreC, genreA, genreD."
75,genreC,This is a description for item 75 belonging to genres genreC.
76,genreE;genreD;genreA,"This is a description for item 76 belonging to genres genreE, genreD, genreA."
77,genreB;genreD;genreE,"This is a description for item 77 belonging to genres genreB, genreD, genreE."
78,genreC;genreE;genreA,"This is a description for item 78 belonging to genres genreC, genreE, genreA."
79,genreC;genreE,"This is a description for item 79 belonging to genres genreC, genreE."
80,genreA;genreB,"This is a description for item 80 belonging to genres genreA, genreB."
81,genreA,This is a description for item 81 belonging to genres genreA.
82,genreA;genreD,"This is a description for item 82 belonging to genres genreA, genreD."
83,genreC;genreB;genreA,"This is a description for item 83 belonging to genres genreC, genreB, genreA."
84,genreD;genreB;genreE,"This is a description for item 84 belonging to genres genreD, genreB, genreE."
85,genreB,This is a description for item 85 belonging to genres genreB.
86,genreB,This is a description for item 86 belonging to genres genreB.
87,genreE,This is a description for item 87 belonging to genres genreE.
88,genreD,This is a description for item 88 belonging to genres genreD.
89,genreC,This is a description for item 89 belonging to genres genreC.
90,genreC;genreB;genreA,"This is a description for item 90 belonging to genres genreC, genreB, genreA."
91,genreE;genreD,"This is a description for item 91 belonging to genres genreE, genreD."
92,genreD;genreA;genreE,"This is a description for item 92 belonging to genres genreD, genreA, genreE."
93,genreD,This is a description for item 93 belonging to genres genreD.
94,genreA;genreB;genreC,"This is a description for item 94 belonging to genres genreA, genreB, genreC."
95,genreA;genreD;genreE,"This is a description for item 95 belonging to genres genreA, genreD, genreE."
96,genreB;genreD;genreA,"This is a description for item 96 belonging to genres genreB, genreD, genreA."
97,genreB,This is a description for item 97 belonging to genres genreB.
98,genreE;genreA;genreB,"This is a description for item 98 belonging to genres genreE, genreA, genreB."
99,genreE,This is a description for item 99 belonging to genres genreE.
100,genreC;genreE;genreD,"This is a description for item 100 belonging to genres genreC, genreE, genreD."
