user_id,item_ids_sequence
131,7 93 83 59 20 93 24 87 92 19 42 49 40 71 41
132,60 33 21 61 82 52 26 48
133,8 37 28 18 92 13 8 53 31 22 16 55 78
134,14 30 98 91 38 21 68 96
135,76 33 75 99 27 66 4 96 43
136,42 27 48 20 99 60 95 78 79 21
137,26 97 96 17 73 73 78 57 22 91
138,5 45 56 62 94 46 94 12 59 81 30 91 96 22 2 13
139,62 56 44 45 49 99 91 94 1 39 73 52 85 9
140,33 60 32 59 64 1 67 50 76 69
141,24 5
142,25 62 25 29 62 5 91 63 28 19 27 91 19 20 39
143,60 33 15 78 72 76 34
144,83 49 25 41 91 26 63 76 86 37 95
145,48 76 8 38 85 97
146,36 23 85 16 26 99 22 25 67 25 4 50
147,90 85 93 56 45 9 69 10 2
148,93 2 77 59 62 85
149,53 68 27 55 94 16 84 33
150,86 71 92 8 95 86
151,26 6 36 22 95 29 61 51 53
152,44 6 83 26 98 72 89 80 6 6 41 8 60 76
153,54 85 62 53 68 7 61
154,16 45 59 25 12 49 29 66 75 60 14 48 3
155,89 20 46 77 97 34 22 66 56 23 73 66 67
156,90 82 76
157,13 41 15 90 76 45 17 6 96 68 15 4 17
158,6 53 51 8 97 98 2
159,10 14 64 34 35 62 69 8 42 55 23 79
160,52 55 77 28 34 43 26 72 68 83 84 24
161,12 31 32 64 83 27 85 15 33 80
162,97 30 67 7 31 15 53 11 59 60
163,9 44 77 18 30 71 89 38 97 50 98
164,46 65 52 38 40 23 63
165,32 18 9 19 51 47 21 34 65 39 82 58
166,91 52 26
167,15 84 45 33 72 80 32 18 99 91 11 60 62
168,77 59 22 30 65
169,47 23 38 3 74 87 39 47 71 17 75
170,40 59 32 11 80 85 2 36 27 23
171,3 71 85 45 5 75 82 38 69 12 88
172,57 11 26 35 91 17
173,94 68 9 62 56
174,45 19 70 10 18 84 15 94 3 40 82 89
175,27 29 32 78 27 35 48 8 60
176,33 71 72 96 19 78 40 17 74 38 26 32
177,26 5 48 72 52 77 53 58 43 28 20
178,32 58 41 19 6 100
179,18 11 67 79 10 55 56 89 26 22 62 81 91
180,11 48 5 22 89 31
181,86 98 47 94 30 48 13 74 97 32 3 51
182,12 5 21 71 64 49 5 13 78
183,53 61 85 21 25 19 23 18 29 74
184,65 84 16 43 86 51 54 45
185,92 31 67 77 40 29 15 55 46 45 40 27
186,63 67 22 62 92 85 10 35 55 15
187,53 45 68 97 8 68 32 12 43 60 77 38
188,35 100 81 44 31 7 43 9 36 72 37 10 24 38 35 56
189,88 89 57 17 83 62 9 74 17 16
190,81 43 11 32 42 76 81 72 27 36 88 34 88 15 39
191,47 34 11 50 79 21
192,4 39 72 1 25 50
193,38 58 32 97 28 44 18 86
194,73 12 88 84 8 81 53 16 23 9
195,56 38 63 62 72 53 49 7 6
196,79 24 93 82 1 30 92 25 57 54
197,83 24 80 74 72 97 75 16 74
198,67 49 58 14 1 84 68 21 89 57 53 33 73 26 89 25 14 74
199,20 10 25 65 17 40 44 64 77
200,82 71 29 37 66 23 96 69
